bibtexkey,year,title,author,author_prepared,editor,journal,proceeding_title,volume,number,issn,isbn,doi,wosid,keywords,type,category,wos_categories,wos_index,research_areas
RN166,2018,A Probabilistic Automated Tagger To Identify Human-Related Publications,"Cohen, A. M.;Dunivin, Z. O.;Smalheiser, N. R.","Cohen, A. M.;Dunivin, Zackary Okun;Smalheiser, N. R.",NA,Database-the Journal of Biological Databases and Curation,NA,NA,NA,1758-0463,NA,10.1093/database/bay079,WOS:000444756600002,CLASSIFICATION,Journal Article,ARTICLE,Mathematical & Computational Biology,Science Citation Index Expanded (SCI-EXPANDED),Mathematical & Computational Biology
RN167,2018,Cana: A Python Package For Quantifying Control And Canalization In Boolean Networks,"Correia, Rion B;Gates, Alexander J;Wang, Xuan;Rocha, Luis M","Correia, Rion Brattig;Gates, Alexander J;Wang, Xuan;Rocha, Luis M",NA,Frontiers in Physiology,NA,9,NA,NA,NA,10.3389/fphys.2018.01046,WOS:000441685300001,MODELS; GENES,Journal Article,ARTICLE,Physiology,Science Citation Index Expanded (SCI-EXPANDED),Physiology
RN155,2020,Mining Social Media Data For Biomedical Signals And Health-Related Behavior,"Correia, Rion Brattig;Wood, Ian B;Bollen, Johan;Rocha, Luis M","Correia, Rion Brattig;Wood, Ian B;Bollen, Johan;Rocha, Luis M","Altman, R. B.",NA,"Annual Review Of Biomedical Data Science, Vol 3, 2020",3,NA,NA,NA,10.1146/annurev-biodatasci-030320-040844,WOS:000613910200018,ADVERSE DRUG-REACTIONS; BIG DATA; FACEBOOK; TWITTER; EPILEPSY; STIGMA; ONLINE; WEB; PREVALENCE; TWEETS,Book Section,INBOOK,Biochemical Research Methods; Mathematical & Computational Biology,Emerging Sources Citation Index (ESCI); Book Citation Index � Science (BKCI-S),Biochemistry & Molecular Biology; Mathematical & Computational Biology
RN247,2023,Effective Connectivity And Bias Entropy Improve Prediction Of Dynamical Regime In Automata Networks,"Costa, Felipe Xavier;Rozum, Jordan C;Marcus, Austin M;Rocha, Luis M","Costa, Felipe Xavier;Rozum, Jordan C;Marcus, Austin M;Rocha, Luis M",NA,Entropy,NA,25,2,1099-4300,NA,NA,NA,NA,Journal Article,ARTICLE,NA,NA,NA
RN109,2024,Modeling The Extracellular Matrix In Cell Migration And Morphogenesis: A Guide For The Curious Biologist,"Crossley, R. M.;Johnson, S.;Tsingos, E.;Bell, Z.;Berardi, M.;Botticelli, M.;Braat, Q. J. S.;Metzcar, J.;Ruscone, M.;Yin, Y.;Shuttleworth, R.","Crossley, R. M.;Johnson, S.;Tsingos, E.;Bell, Z.;Berardi, M.;Botticelli, M.;Braat, Q. J. S.;Metzcar, John;Ruscone, M.;Yin, Y.;Shuttleworth, R.",NA,Frontiers in Cell and Developmental Biology,NA,12,NA,2296-634X,NA,10.3389/fcell.2024.1354132,WOS:001184929700001,MATHEMATICAL-MODEL; MECHANOCHEMICAL MODELS; SPROUTING ANGIOGENESIS; MECHANICAL-PROPERTIES; WOUND CONTRACTION; PATTERN-FORMATION; HYBRID MODEL; MULTISCALE; ECM; FRAMEWORK,Journal Article,ARTICLE,Cell Biology; Developmental Biology,Science Citation Index Expanded (SCI-EXPANDED),Cell Biology; Developmental Biology
RN254,2021,Covaxxy: A Collection Of English-Language Twitter Posts About Covid-19 Vaccines,"DeVerna, Matthew R;Pierri, Francesco;Truong, Bao Tran;Bollenbacher, John;Axelrod, David;Loynes, Niklas;Torres-Lugo, Christopher;Yang, Kai-Cheng;Menczer, Filippo;Bryden, John","DeVerna, Matthew R;Pierri, Francesco;Truong, Bao Tran;Bollenbacher, John;Axelrod, David;Loynes, Niklas;Torres-Lugo, Christopher;Yang, Kai-Cheng;Menczer, Filippo;Bryden, John",NA,NA,Proceedings Of The International Aaai Conference On Web And Social Media,15,NA,NA,2334-0770,NA,NA,NA,Conference Proceedings,INPROCEEDINGS,NA,NA,NA
RN2,2021,Dapt: A Package Enabling Distributed Automated Parameter Testing,"Duggan, Ben;Metzcar, John;Macklin, Paul","Duggan, Ben;Metzcar, John;Macklin, Paul",NA,Gigabyte,NA,2021,NA,NA,NA,NA,NA,NA,Journal Article,ARTICLE,NA,NA,NA
RN147,2020,"Gender, Soft Skills, And Patient Experience In Online Physician Reviews: A Large-Scale Text Analysis","Dunivin, Z.;Zadunayski, L.;Baskota, U.;Siek, K.;Mankoff, J.","Dunivin, Zackary Okun;Zadunayski, L.;Baskota, U.;Siek, K.;Mankoff, J.",NA,Journal of Medical Internet Research,NA,22,7,1438-8871,NA,10.2196/14455,WOS:000575051400012,HEALTH-CARE; COMMUNICATION; RECOMMENDATION; SATISFACTION; STEREOTYPES; STYLE; SEX,Journal Article,ARTICLE,Health Care Sciences & Services; Medical Informatics,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Health Care Sciences & Services; Medical Informatics
RN127,2022,Black Lives Matter Protests Shift Public Discourse,"Dunivin, Zackary Okun;Yan, Harry Yaojun;Ince, Jelani;Rojas, Fabio","Dunivin, Zackary Okun;Yan, Harry Yaojun;Ince, Jelani;Rojas, Fabio",NA,Proceedings of the National Academy of Sciences of the United States of America,NA,119,10,0027-8424,NA,10.1073/pnas.2117320119,WOS:000772222800013,DISCURSIVE OPPORTUNITY; SOCIAL-MOVEMENTS; UNITED-STATES; OPINION,Journal Article,ARTICLE,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Science & Technology - Other Topics
RN234,2022,Getting Situated: Comparative Analysis Of Language Models With Experimental Categorization Tasks,"Edinger, Andy;Goldstone, Robert","Edinger, Andy;Goldstone, Robert",NA,NA,Proceedings Of The Annual Meeting Of The Cognitive Science Society,44,NA,NA,NA,NA,NA,NA,Conference Proceedings,INPROCEEDINGS,NA,NA,NA
RN204,2023,Deep Learning For Topical Trend Discovery In Online Discourse About Pre-Exposure Prophylaxis (Prep),"Edinger, Andy;Valdez, Danny;Walsh-Buhi, Eric;Bollen, Johan","Edinger, Andy;Valdez, Danny;Walsh-Buhi, Eric;Bollen, Johan",NA,AIDS and Behavior,NA,27,2,1090-7165,NA,NA,NA,NA,Journal Article,ARTICLE,NA,NA,NA
RN163,2019,Computation Is Concentrated In Rich Clubs Of Local Cortical Networks,"Faber, Samantha P;Timme, Nicholas M;Beggs, John M;Newman, Ehren L","Faber, Samantha P;Timme, Nicholas M;Beggs, John M;Newman, Ehren L",NA,Network Neuroscience,NA,3,2,2472-1751,NA,10.1162/netn_a_00069,WOS:000476767200007,INFORMATION DECOMPOSITION; SLICE CULTURES; ORGANIZATION; CORTEX; BRAIN; CONNECTIVITY; TRANSMISSION; DYNAMICS; PATTERNS; ENTROPY,Journal Article,ARTICLE,Neurosciences,Science Citation Index Expanded (SCI-EXPANDED),Neurosciences & Neurology
RN257,2020,"“Then And Now,” Mapping The 25 Year Evolution And Impact Of North American Vascular Biology Organization Science Through Publications Of Its Founding And Current Members","Galis, Zorina S;Herr, Bruce W;Daptardar, Santoshmurti S;Sydykanova, Medina;Börner, Katy","Galis, Zorina S;Herr, Bruce W;Daptardar, Santoshmurti S;Sydykanova, Medina;Börner, Katy",NA,Frontiers in Research Metrics and Analytics,NA,5,NA,2504-0537,NA,NA,NA,NA,Journal Article,ARTICLE,NA,NA,NA
RN140,2021,"The Effective Graph Reveals Redundancy, Canalization, And Control Pathways In Biochemical Regulation And Signaling","Gates, Alexander J;Brattig Correia, Rion;Wang, Xuan;Rocha, Luis M","Gates, Alexander J;Correia, Rion Brattig;Wang, Xuan;Rocha, Luis M",NA,Proceedings of the National Academy of Sciences of the United States of America,NA,118,12,0027-8424,NA,10.1073/pnas.2022598118,WOS:000631868600059,NA,Journal Article,ARTICLE,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED),Science & Technology - Other Topics
RN119,2023,Smallholder Social Networks: Advice Seeking And Adaptation In Rural Kenya,"Giroux, Stacey;Kaminski, Patrick;Waldman, Kurt;Blekking, Jordan;Evans, Tom;Caylor, Kelly K","Giroux, Stacey A.;Kaminski, Patrick;Waldman, Kurt B;Blekking, Jordan;Evans, Tom;Caylor, Kelly K",NA,Agricultural Systems,NA,205,NA,0308-521X,NA,10.1016/j.agsy.2022.103574,WOS:000899212100001,SEED EXCHANGE NETWORKS; CLIMATE-CHANGE; INFORMATION-SOURCES; DECISION-MAKING; ADOPTION; MAIZE; IMPACT; VARIABILITY; STRATEGIES; EASTERN,Journal Article,ARTICLE,"Agriculture, Multidisciplinary",Science Citation Index Expanded (SCI-EXPANDED),Agriculture
RN122,2023,Farm Stress And The Production Of Rural Sacrifice Zones,"Heaberlin, Bradi;Shattuck, Annie","Heaberlin, Bradi M;Shattuck, Annie",NA,Journal of Rural Studies,NA,97,NA,0743-0167,NA,10.1016/j.jrurstud.2022.11.007,WOS:000995028000001,MENTAL-HEALTH; SUICIDES; CRISIS,Journal Article,ARTICLE,Geography; Regional & Urban Planning,Social Science Citation Index (SSCI),Geography; Public Administration
RN207,2022,Perpetual Crossers Without Sensory Delay: Revisiting The Perceptual Crossing Simulation Studies,"Izquierdo, Eduardo J;Severino, Gabriel J;Merritt, Haily","Izquierdo, Eduardo J;Severino, Gabriel J;Merritt, Haily",NA,NA,Artificial Life Conference Proceedings 34,2022,NA,NA,2693-1508,NA,NA,NA,Conference Proceedings,INPROCEEDINGS,NA,NA,NA
RN193,2023,Comparing Professional Communities: Opioid Prescriber Networks And Public Health Preparedness Districts,"Kaminski, Patrick;Perry, Brea L;Green Jr, Harold D","Kaminski, Patrick;Perry, Brea L;Green Jr, Harold D",NA,Harm Reduction Journal,NA,20,1,1477-7517,NA,NA,NA,NA,Journal Article,ARTICLE,NA,NA,NA
RN131,2022,A Recursive Logit Model With Choice Aversion And Its Application To Transportation Networks,"Knies, A.;Lorca, J.;Melo, E.","Knies, A.;Lorca, J.;Melo, Emerson",NA,Transportation Research Part B-Methodological,NA,155,NA,0191-2615,NA,10.1016/j.trb.2021.10.011,WOS:000793294200003,ROUTE; PARADOX; TOO,Journal Article,ARTICLE,"Economics; Engineering, Civil; Operations Research & Management Science; Transportation; Transportation Science & Technology",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Business & Economics; Engineering; Operations Research & Management Science; Transportation
RN171,2020,Cognition Evolves With The Emergence Of Environmental Patchiness,"Luthra, Mahi;Izquierdo, Eduardo J;Todd, Peter M","Luthra, Mahi;Izquierdo, Eduardo J;Todd, Peter M",NA,NA,Artificial Life Conference Proceedings 32,NA,NA,NA,2693-1508,NA,NA,NA,Conference Proceedings,INPROCEEDINGS,NA,NA,NA
RN130,2022,Effective Connectivity Determines The Critical Dynamics Of Biochemical Networks,"Manicka, Santosh;Marques-Pita, Manuel;Rocha, Luis M","Manicka, Santosh;Marques-Pita, Manuel;Rocha, Luis M",NA,Journal of the Royal Society Interface,NA,19,186,1742-5689,NA,10.1098/rsif.2021.0659,WOS:000743896200002,REGULATORY NETWORKS; PHASE-TRANSITIONS; BOOLEAN MODELS; CANALIZATION; AVALANCHES; THRESHOLD; CELLS; CHAOS,Journal Article,ARTICLE,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED),Science & Technology - Other Topics
RN157,2019,Applications Of Photogrammetric Modeling To Roman Wall Painting: A Case Study In The House Of Marcus Lucretius,"McClinton, K. E.","McClinton, K. E.",NA,Arts,NA,8,3,NA,NA,10.3390/arts8030089,WOS:000487985800033,HERITAGE,Journal Article,ARTICLE,"Humanities, Multidisciplinary",Emerging Sources Citation Index (ESCI),Arts & Humanities - Other Topics
RN189,2024,Stability And Variation Of Brain-Behavior Correlation Patterns Across Measures Of Social Support,"Merritt, Haily;Faskowitz, Joshua;Gonzalez, Marlen Z;Betzel, Richard F","Merritt, Haily;Faskowitz, Joshua;Gonzalez, Marlen Z;Betzel, Richard F",NA,Imaging Neuroscience,NA,2,NA,2837-6056,NA,NA,NA,NA,Journal Article,ARTICLE,NA,NA,NA
RN108,2024,A Review Of Mechanistic Learning In Mathematical Oncology,"Metzcar, John;Jutzeler, Catherine R;Macklin, Paul;Köhn-Luque, Alvaro;Brüningk, Sarah C","Metzcar, John;Jutzeler, Catherine R;Macklin, Paul;Köhn-Luque, Alvaro;Brüningk, Sarah C",NA,Frontiers in Immunology,NA,15,NA,1664-3224,NA,10.3389/fimmu.2024.1363144,WOS:001191909200001,INFORMED NEURAL-NETWORKS; MODELS; CANCER; GLIOBLASTOMA; SURVIVAL,Journal Article,ARTICLE,Immunology,Science Citation Index Expanded (SCI-EXPANDED),Immunology
RN161,2019,A Review Of Cell-Based Computational Modeling In Cancer Biology,"Metzcar, J.;Wang, Y. F.;Heiland, R.;Macklin, P.","Metzcar, John;Wang, Y. F.;Heiland, R.;Macklin, Paul",NA,Jco Clinical Cancer Informatics,NA,3,NA,2473-4276,NA,10.1200/cci.18.00069,WOS:000461065500001,INDUCED ANGIOGENESIS; IN-VITRO; TUMOR; GROWTH; INVASION; EVOLUTION; MICROENVIRONMENT; INTRAVASATION; IMMUNOTHERAPY; HETEROGENEITY,Journal Article,ARTICLE,Oncology,Emerging Sources Citation Index (ESCI),Oncology
RN142,2021,Extending & Facilitating Informal Care Networks For People With Epilepsy & Caregivers,"Min, Aehong","Min, Aehong",NA,NA,24th Acm Conference On Computer-Supported Cooperative Work And Social Computing (Cscw),NA,NA,NA,978-1-4503-8479-7,10.1145/3462204.3481793,WOS:001081877800064,HEALTH; CHILDREN,Conference Proceedings,INPROCEEDINGS,"Computer Science, Interdisciplinary Applications; Computer Science, Software Engineering; Social Issues",Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science & Humanities (CPCI-SSH),Computer Science; Social Issues
RN205,2021,Just In Time: Challenges And Opportunities Of First Aid Care Information Sharing For Supporting Epileptic Seizure Response,"Min, Aehong;Miller, Wendy;Rocha, Luis;Börner, Katy;Brattig Correia, Rion;Shih, Patrick C","Min, Aehong;Miller, Wendy R;Rocha, Luis M;Börner, Katy;Correia, Rion Brattig;Shih, Patrick C",NA,Proceedings of the ACM on Human-computer Interaction,NA,5,CSCW1,2573-0142,NA,NA,NA,NA,Journal Article,ARTICLE,NA,NA,NA
RN118,2023,Understanding Contexts And Challenges Of Information Management For Epilepsy Care,"Min, Aehong;Miller, Wendy R;Rocha, Luis M;Börner, Katy;Brattig Correia, Rion;Shih, Patrick C","Min, Aehong;Miller, Wendy R;Rocha, Luis M;Börner, Katy;Correia, Rion Brattig;Shih, Patrick C",NA,NA,Chi Conference On Human Factors In Computing Systems (Chi),NA,NA,NA,978-1-4503-9421-5,10.1145/3544548.3580949,WOS:001037809504047,QUALITY-OF-LIFE; SELF-MANAGEMENT; CHRONIC DISEASE; HEALTH; OVERLOAD; CLASSIFICATION; COMMUNICATION; TECHNOLOGY; INTENTION; SEEKING,Conference Proceedings,INPROCEEDINGS,"Computer Science, Information Systems; Computer Science, Theory & Methods; Robotics",Conference Proceedings Citation Index - Science (CPCI-S),Computer Science; Robotics
RN123,2022,Revealing The Dynamics Of Neural Information Processing With Multivariate Information Decomposition,"Newman, Ehren L;Varley, Thomas F;Parakkattu, Vibin K;Sherrill, Samantha P;Beggs, John M","Newman, Ehren L;Varley, Thomas F;Parakkattu, Vibin K;Sherrill, Samantha P;Beggs, John M",NA,Entropy,NA,24,7,NA,NA,10.3390/e24070930,WOS:000832273800001,EFFECTIVE CONNECTIVITY; NEURONS; CORTEX,Journal Article,ARTICLE,"Physics, Multidisciplinary",Science Citation Index Expanded (SCI-EXPANDED),Physics
RN126,2022,"Universality, Criticality And Complexity Of Information Propagation In Social Media","Notarmuzi, Daniele;Castellano, Claudio;Flammini, Alessandro;Mazzilli, Dario;Radicchi, Filippo","Notarmuzi, Daniele;Castellano, Claudio;Flammini, Alessandro;Mazzilli, Dario;Radicchi, Filippo",NA,Nature Communications,NA,13,1,NA,NA,10.1038/s41467-022-28964-8,WOS:000769063600006,NEURONAL AVALANCHES; CONTAGIONS; MODEL,Journal Article,ARTICLE,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED),Science & Technology - Other Topics
RN235,2021,Uncovering Coordinated Networks On Social Media: Methods And Case Studies,"Pacheco, Diogo;Hui, Pik-Mai;Torres-Lugo, Christopher;Truong, Bao Tran;Flammini, Alessandro;Menczer, Filippo","Pacheco, Diogo;Hui, Pik-Mai;Torres-Lugo, Christopher;Truong, Bao Tran;Flammini, Alessandro;Menczer, Filippo",NA,NA,Proceedings Of The International Aaai Conference On Web And Social Media,15,NA,NA,2334-0770,NA,NA,NA,Conference Proceedings,INPROCEEDINGS,NA,NA,NA
RN4,2020,Youtube Children’s Videos: Development Of A Genre Under Algorithm,"Paolillo, John;Harper, Brian;Boothby, Clara;Axelrod, David","Paolillo, John;Harper, Brian;Boothby, Clara;Axelrod, David",NA,NA,Proceedings Of The Annual Hawaii International Conference On System Sciences,NA,NA,NA,NA,NA,NA,NA,Conference Proceedings,INPROCEEDINGS,NA,NA,NA
RN256,2024,Spatial Symmetry Breaking In Optimal Networks,"Patwardhan, Siddharth;Erkol, Sirag;Fortunato, Santo;Barthelemy, Marc;Radicchi, Filippo","Patwardhan, Siddharth;Erkol, Sirag;Fortunato, Santo;Barthelemy, Marc;Radicchi, Filippo",NA,Bulletin of the American Physical Society,NA,NA,NA,NA,NA,NA,NA,NA,Journal Article,ARTICLE,NA,NA,NA
RN110,2023,Epidemic Spreading In Group-Structured Populations,"Patwardhan, Siddharth;Rao, Varun K;Fortunato, Santo;Radicchi, Filippo","Patwardhan, Siddharth;Rao, Varun K;Fortunato, Santo;Radicchi, Filippo",NA,Physical Review X,NA,13,4,2160-3308,NA,10.1103/PhysRevX.13.041054,WOS:001133497600001,NA,Journal Article,ARTICLE,"Physics, Multidisciplinary",Science Citation Index Expanded (SCI-EXPANDED),Physics
RN156,2019,Co-Prescription Network Reveals Social Dynamics Of Opioid Doctor Shopping,"Perry, B. L.;Yang, K. C.;Kaminski, P.;Odabas, M.;Park, J.;Martel, M.;Oser, C. B.;Freeman, P. R.;Ahn, Y. Y.;Talbert, J.","Perry, Brea L;Yang, Kai-Cheng;Kaminski, Patrick;Odabas, M.;Park, J.;Martel, M.;Oser, C. B.;Freeman, P. R.;Ahn, Yong-Yeol;Talbert, J.",NA,Plos One,NA,14,10,1932-6203,NA,10.1371/journal.pone.0223849,WOS:000532638300011,DRUG-MONITORING PROGRAMS; HEROIN USE; UNITED-STATES; SHOPPERS; IMPACT,Journal Article,ARTICLE,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Science & Technology - Other Topics
RN133,2021,Modular Origins Of High-Amplitude Cofluctuations In Fine-Scale Functional Connectivity Dynamics,"Pope, Maria;Fukushima, Makoto;Betzel, Richard F;Sporns, Olaf","Pope, Maria;Fukushima, Makoto;Betzel, Richard F;Sporns, Olaf",NA,Proceedings of the National Academy of Sciences of the United States of America,NA,118,46,0027-8424,NA,10.1073/pnas.2109380118j1of11,WOS:000722463000005,RESTING-STATE; HUMAN BRAIN; NETWORK OSCILLATIONS; NEURAL ACTIVITY; DIFFUSION MRI; SYNCHRONIZATION; CORTEX; ORGANIZATION; CRITICALITY; EXPRESSION,Journal Article,ARTICLE,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED),Science & Technology - Other Topics
