"Variable","Label","ImportJSON"
"Year","Year","Year"
"Role","Role","Role"
"RecordedDate","Recorded Date","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}"
"ResponseId","Response ID","{""ImportId"":""_recordId""}"
"Progress","Progress","{""ImportId"":""progress""}"
"Remove","Remove","Remove"
"Q123","NRT program is on track to achieve its goals.","{""ImportId"":""QID123""}"
"Q2","NRT program (e.g.,  (virtual) colloquium series, annual showcase, and informal events) has helped disseminate the latest research findings on Complex Networks and Systems.","{""ImportId"":""QID5""}"
"Q1","NRT program (e.g., open house, extended colloquium series, annual showcase) has helped increase awareness of Complex Networks and Systems  within the Indiana University.","{""ImportId"":""QID3""}"
"Q120","NRT program (e.g. open house, extended colloquium series, annual showcase) has helped increase awareness of Complex Networks and Systems nationally.","{""ImportId"":""QID120""}"
"Q158","The COVID-19 pandemic has impacted your participation in the NRT program.","{""ImportId"":""QID158""}"
"Q155","Please use the space below to share thoughts or comments about how the COVID-19 pandemic impacted your participation in the NRT program.","{""ImportId"":""QID155_TEXT""}"
"Q160","Please explain your choices for the grouping selections that you have made regarding aspects of the NRT program you'd continue, adapt, or drop from future CNS graduate programs.","{""ImportId"":""QID159_TEXT""}"
"Q162","Please add any additional comments about continuation of aspects of the NRT program below.","{""ImportId"":""QID162_TEXT""}"
"Q107","Please share any comments you have about your experience with the NRT program.","{""ImportId"":""QID107_TEXT""}"
