"Year","Role","ResponseId","Variable","Value","Group","Item"
2022,"Admin","R_w60XdYkYaesK1ih","Q155","During Covid my workload has increased making me less available for participating in NRT activities.","COVID","Comments"
2022,"Fellow","R_1CsgGgOAuRmBlLa","Q155","Also with respect to the previous responses. I feel like the NRT has really dropped the ball this past year. There was minimal support for us, lots of student organizing, which really should not have been the responsibility of students, but provided by the program. To this end, COVID seems to have really stunted the effectiveness of the program, either due to gaps in communication or lack of personnel, or lack of appreciation of personnel, including staff (like [NRT Project Manager], who planned events for us) and students","COVID","Comments"
2022,"Admin","R_30148uYX9XqEHpR","Q155","I've missed going to the poster sessions and other presentations.","COVID","Comments"
2022,"Fellow","R_3EXZT5Y0KtZcdiG","Q155","It just made it harder to interact with folks regularly. Interactions had to be planned and organized, which was more difficult, Zoom fatigue, etc. ","COVID","Comments"
2022,"Faculty","R_veKLn3a1Wo3q3JL","Q155","I have two NRT students working in my lab (and work with others as part of collaborations). Meeting virtually is not always productive and, in my opinion, has slowed the training of some of these students.","COVID","Comments"
2022,"Fellow","R_29aALr6UIOyxL9D","Q155","All kinds of collaboration became much more difficult- students were no longer sharing workspace or having informal discussions. It was much more difficult to get in touch with professors, the virtual colloquia didn't allow for any kind of informal discussion (besides which there were just many fewer of them). The planned trips to visit other NRT programs were cancelled. The whole program had to be restructured and I think that was difficult for everyone, moving from a structure that was planned to one that was improvised. People in general retreated to their separate departments and the interdisciplinary spirit of the program was difficult to sustain. ","COVID","Comments"
2022,"Admin","R_cSdhweY5RU84Lrr","Q155","I wasn't very aware of things happening - had to make direct inquiries with [NRT Project Manager] to stay informed. ","COVID","Comments"
2022,"Fellow","R_2DTfQ9ISl6WKWAJ","Q155","I get the impression that the lecture series, which was a bulk of NRT participation before the pandemic, was severely impacted by the pandemic and people's willingness to travel. This is understandable, but it means that newer NRT students basically did not get an NRT experience. I have put in some effort to getting to know newer students, and they make up a bulk of my current social circle. They have talked about how the money is great but there doesn't seem to be an NRT program, and I've expressed my own experience to them about how things were different before COVID. 

This also means that there is a massive empty space between the social groups of the older and younger NRT students, where the younger students generally don't feel like they know any older students and vice versa. Though the specifics of why the groups don't hang out are long, the basic result is that we don't get a chance to talk with cool people about cool things, or get to know each other's research. The poster session helped with this, but it is still difficult to get the social network to connect. ","COVID","Comments"
2022,"Affiliate","R_3RxSgoFhVREJcLn","Q155","Meeting on Zoom is just not the same as meeting in person. You won't have any of the unscripted, one-on-one conversations with faculty that you happen to run into at and around the event.","COVID","Comments"
2022,"Fellow","R_a60D5VY6O8G3q0h","Q155","There has been no ability to network with other people in the field of complex systems -- which was one of the main draws of the NRT for me (esp. connections with SFI and Northeastern)","COVID","Comments"
2022,"Fellow","R_24uUR9Mm5yALLAF","Q155","Because I joined during the pandemic, I feel like many of my options were very limited, including interacting with other NRT students, talking with visiting speakers, getting to know NRT-affiliated faculty, and exploring my research options. Regardless o how much enthusiasm I or the speakers bring to a Zoom meeting, I never get as much out of them as in-person events.","COVID","Comments"
2022,"Fellow","R_3nNudc7YucIlKZp","Q155","Fewer interactions with collogues and so less awareness of what others are doing","COVID","Comments"
2022,"Faculty","R_1FQ9qFRHuqFgeD3","Q155","COVID has made it impossible for normal interactions to take place. We have had to get used to COVID & learn how to make virtual interactions productive. I think that we have learned a lot in the last couple of years - of what to do & what not to do. I think that this next academic year we will be much better off - since we have learned from our experiences over the last couple of years.","COVID","Comments"
