"Variable","Label","ImportJSON"
"Q155","Please use the space below to share thoughts or comments about how the COVID-19 pandemic impacted your participation in the NRT program.","{""ImportId"":""QID155_TEXT""}"
"Q160","Please explain your choices for the grouping selections that you have made regarding aspects of the NRT program you'd continue, adapt, or drop from future CNS graduate programs.","{""ImportId"":""QID159_TEXT""}"
"Q162","Please add any additional comments about continuation of aspects of the NRT program below.","{""ImportId"":""QID162_TEXT""}"
"Q107","Please share any comments you have about your experience with the NRT program.","{""ImportId"":""QID107_TEXT""}"
"Q36T","How did the mentorship you provided to a mentee or mentees help the individuals in other ways not noted above?","{""ImportId"":""QID44_TEXT""}"
"Q38","Please use the space below to share thoughts or comments about your NRT mentoring experience not captured by the previous questions.","{""ImportId"":""QID46_TEXT""}"
"Q133","If you are not satisfied with the CNS NRT, please feel free to add any comments.","{""ImportId"":""QID133_TEXT""}"
"Q53a","In what ways do you feel that the process of preparing and submitting your work to the NRT Annual Showcase helped to advance your skills in any other way?","{""ImportId"":""QID70_TEXT""}"
"Q53b","How could the NRT Annual Showcase have better helped you to advance your skills?","{""ImportId"":""QID71_TEXT""}"
"Q62a","In what ways could the NRT Extended Colloquium Series program could be improved?","{""ImportId"":""QID86_TEXT""}"
"Q64","Please use the space below to share thoughts or comments about the NRT Extended Colloquium Series experience not captured by the previous questions.","{""ImportId"":""QID89_TEXT""}"
"Q27T","What are ways you think the mentorship process could be improved?","{""ImportId"":""QID33_TEXT""}"
"Q29","Please use the space below to share thoughts or comments about NRT mentorships.","{""ImportId"":""QID35_TEXT""}"
