"Variable","Label","ImportJSON"
"Year","Year","Year"
"Role","Role","Role"
"RecordedDate","Recorded Date","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}"
"ResponseId","Response ID","{""ImportId"":""_recordId""}"
"Progress","Progress","{""ImportId"":""progress""}"
"Remove","Remove","Remove"
"Q159_0_GROUP","As the NRT program enters its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Groups - Continue as is","{""ImportId"":""QID160_0_GROUP""}"
"Q159_1_GROUP","As the NRT program enters its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Groups - Adapt","{""ImportId"":""QID160_1_GROUP""}"
"Q159_2_GROUP","As the NRT program enters its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Groups - Drop","{""ImportId"":""QID160_2_GROUP""}"
"Q159_0_1_RANK","As the NRT program enters its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Ranks - Continue as is - Colloquium series - Rank","{""ImportId"":""QID160_G0_1_RANK""}"
"Q159_0_2_RANK","As the NRT program enters its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Ranks - Continue as is - Research showcase - Rank","{""ImportId"":""QID160_G0_2_RANK""}"
"Q159_0_3_RANK","As the NRT program enters its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Ranks - Continue as is - Affiliate style summer research opportunities - Rank","{""ImportId"":""QID160_G0_3_RANK""}"
"Q159_0_4_RANK","As the NRT program enters its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Ranks - Continue as is - CNS dual-degree doctoral programs - Rank","{""ImportId"":""QID160_G0_4_RANK""}"
