Id,Last Name,First Name,Admit Term,Program,Degrees,BA,BS,MA,MS,Gender,Ethnicity,Citizinship,Primary Sub Plan,Affiliation,Aff.Lab,Graduated,Attrite,LOA,Exclude
1,,,Fall 2019,INFO6,BA/MA,1,0,1,0,M,White,,Complex Networks & Systems - NRT,Informatics,INFO,0,0,0,0
2,,,Fall 2019,INFO6,BS/BA,1,1,0,0,F,White,,Complex Networks & Systems - NRT,Cognitive Science,COGS,0,0,1,0
3,,,Fall 2021,INFO6,BS,0,1,0,0,M,White,,Complex Networks & Systems - NRT,Cognitive Science,COGS,0,0,0,0
4,,,Fall 2015-2017,INFO6,BA,1,0,0,0,M,White,,Complex Networks & Systems - NRT,Sociology,SOC,0,0,0,0
5,,,Fall 2020,INFO6,BS,0,1,0,0,M,White,,Complex Networks & Systems - NRT,Cognitive Science,COGS,0,0,0,0
6,,,Fall 2018,INFO6,BA,1,0,0,0,F,Black/African American,,Complex Networks & Systems - NRT,Informatics,INFO,0,0,0,0
7,,,Fall 2019,INFO6,BS,0,1,0,0,F,White,,Complex Networks & Systems - NRT,Geography,GEOG,0,1,0,1
8,,,Fall 2018,INFO6,BA,1,0,0,0,M,White,Germany,Complex Networks & Systems - NRT,Sociology,SOC,0,0,0,0
9,,,Fall 2020,INFO6,BA,1,0,0,0,F,White,,Complex Networks & Systems - NRT,Sociology,SOC,0,0,0,0
10,,,Fall 2018,INFO6,BA,1,0,0,0,F,White,,Complex Networks & Systems - NRT,Cognitive Science,COGS,0,0,0,0
11,,,Fall 2020,INFO6,BS/MS,0,1,0,1,F,Asian,China,Complex Networks & Systems - NRT,History & Philosophy of Science ,HPSC,0,0,0,0
12,,,Fall 2019,INFO6,BA,1,0,0,0,F,White,,Complex Networks & Systems - NRT,Folklore,FOLK,0,0,0,0
13,,,Fall 2015-2017,INFO6,BA/MS,1,0,0,1,F,White,,Complex Networks & Systems - NRT,Art History,ARTH,1,0,0,0
14,,,Fall 2021,INFO6,BA,1,0,0,0,F,White,,Complex Networks & Systems - NRT,Physics,PYSH,0,0,0,0
15,,,Fall 2020,INFO6,BA,1,0,0,0,F,White,,Complex Networks & Systems - NRT,Cognitive Science,COGS,0,0,0,0
16,,,Fall 2019,INFO6,BS,0,1,0,0,M,White,,Complex Networks & Systems - NRT,Intelligent Systems Engineering,ILS,0,0,0,0
17,,,Fall 2018,INFO6,BS,0,1,0,0,M,White,,Complex Networks & Systems - NRT,Cognitive Science,COGS,0,1,0,1
18,,,Fall 2015-2017,INFO6,BA/MS,1,0,0,1,M,White,,Complex Networks & Systems - NRT,Cognitive Science,COGS,0,1,0,1
19,,,Fall 2020,INFO6,BS,0,1,0,0,M,White,,Complex Networks & Systems - NRT,Cognitive Science,COGS,0,0,0,0
20,,,Fall 2020,INFO6,BS,0,1,0,0,F,White,,Complex Networks & Systems - NRT,Neural Sciences,NEUS,0,0,0,0
21,,,Spring 2020,INFO6,BS,0,1,0,0,F,Asian,Nepal,Complex Networks & Systems - NRT,Informatics,INFO,0,1,0,1
22,,,Fall 2020,INFO6,BS,0,1,0,0,M,Asian,,Complex Networks & Systems - NRT,Public Health,SPH,0,0,0,0
23,,,Fall 2019,INFO6,BA,1,0,0,0,M,White,,Complex Networks & Systems - NRT,Informatics,INFO,0,0,0,0
24,,,Fall 2020,INFO6,BS,0,1,0,0,M,White,,Complex Networks & Systems - NRT,Cognitive Science,COGS,0,0,0,0
25,,,Fall 2021,INFO6,BA,1,0,0,0,M,White,,Complex Networks & Systems - NRT,Economics,ECON,0,0,0,0
26,,,Fall 2019,INFO6,BS,0,1,0,0,F,Asian,Vietnam,Complex Networks & Systems - NRT,Cognitive Science,COGS,0,1,0,1
27,,,Fall 2018,INFO6,BA,1,0,0,0,M,White,,Complex Networks & Systems - NRT,Psychological and Brain Sciences,PBS,0,0,0,0
28,,,Fall 2019,INFO6,BS,0,1,0,0,M,White,,Complex Networks & Systems - NRT,Informatics,INFO,0,0,0,0
29,,,Fall 2018,INFO6,BS/MS,0,1,0,1,M,Asian,Taiwan,Complex Networks & Systems - NRT,Political Science,POLS,0,0,0,0
30,,,Fall 2015-2017,INFO6,BS/MS,0,1,0,1,M,Asian,China,Complex Networks & Systems - NRT,Political Science,POLS,0,0,0,0
31,,,Fall 2015-2017,INFO6,BA,1,0,0,0,M,Asian,,Complex Networks & Systems - NRT,Cognitive Science,COGS,0,0,0,0
32,,,Fall 2021,INFO6,BS,0,1,0,0,M,Asian,India,Complex Networks & Systems - NRT,Intelligent Systems Engineering,ILS,0,0,0,0
33,,,Fall 2018,INFO6,BA/MA,1,0,1,0,M,Asian,China,Complex Networks & Systems - NRT,Media Arts and Sciences,MCSH,0,0,0,0
34,,,Fall 2020,INFO6,BS,0,1,0,0,M,NA,,Complex Networks & Systems - NRT,Intelligent Systems Engineering,ILS,0,0,0,0
35,,,Fall 2018,INFO6,BS/MS,0,1,0,1,F,Asian,China,Complex Networks & Systems - NRT,Cognitive Science,COGS,0,0,0,0
