Ethnicity,2015-2017,2018,2019,2020,2021,Total,Percent
White,3,4,7,6,3,23,65.7
Asian,2,3,1,3,1,10,28.6
Black/African American,0,1,0,0,0,1,2.9
Not Provided,0,0,0,1,0,1,2.9
Total,5,8,8,10,4,35,100
