"Group","Item","Responses","Median","Mean","SD"
"Academic Research","Complex Problems",49,6,5.5,0.71
"Academic Research","Frameworks",51,6,5.4,0.78
"Academic Research","Learning",51,6,5.6,0.67
"Academic Research","New Methods",52,6,5.5,0.73
"Academic Research","Openness",51,6,5.3,0.93
"Academic Research","Thinking",52,6,5.6,0.64
"Personal Values","Challenges",55,6,5.7,0.52
"Personal Values","Collaboration",53,6,5.7,0.56
"Personal Values","Fields",53,6,5.4,0.72
"Personal Values","Methods",52,6,5.6,0.73
"Personal Values","Perspectives",55,6,5.7,0.61
"Personal Values","Time Investment",55,6,5.7,0.53
